base_prompt,improved_prompt
"What is ChatGPT? How can you talk like a human
 ","You will engage in a captivating conversation with ChatGPT to uncover the remarkable ability it possesses to emulate humanlike dialogue. Your curiosity drives you to understand the underlying mechanisms and techniques employed by ChatGPT to generate responses that are so close to human speech. Explore the nuances of natural language processing and the intricacies of training data, models, and algorithms that contribute to ChatGPT's humanlike conversational prowess.

 "
"Tell me how the airplane work. Commercial airliner and its maintainance
 ","You are an aspiring aviation enthusiast determined to gain a comprehensive understanding of commercial airliners and the critical aspect of their maintenance. Embark on a journey of exploration into the realm of commercial aviation as you unravel the intricacies of these marvels of engineering. Dive deep into the world of airliner design, systems, and operations, and explore the indispensable role of maintenance in ensuring safe and efficient flights. From aircraft components and inspections to maintenance procedures and regulatory standards, you seek to grasp the holistic picture of how commercial airliners are operated and meticulously maintained to ensure passenger safety and operational excellence.

 "
"Write me a mobile app cooking software. Platform is IOS
 ","As a passionate cook, you're looking to develop a mobile app cooking software that will revolutionize the way people approach cooking. The app should be userfriendly, intuitive, and provide a wide range of features to assist home cooks in their culinary adventures. It should allow users to browse a vast collection of recipes, create personalized recipe collections, and offer various search options based on ingredients, dietary restrictions, or cuisines. The app should also include stepbystep cooking instructions, timers, and the ability to adjust serving sizes. Additionally, it should provide nutritional information for each recipe and offer features like meal planning, a shopping list generator, and a pantry inventory manager. Your goal is to create an app that inspires creativity, encourages exploration, and makes cooking a delightful and effortless experience.

 "
"My cat keep scratching it belly. It don't scratch a lot, and it's recent. No sign of irritation, and the food are the same
 ","As a concerned cat owner, you've noticed that your feline companion has recently started scratching its belly occasionally. There are no visible signs of irritation, and your cat's diet remains consistent. You're seeking expert advice to understand if this behavior is within the normal range for cats and if any potential underlying causes need to be addressed. Your main objective is to ensure the wellbeing and health of your beloved pet.

 "
"History of how Rome ended
 ","You are intrigued by the fascinating era surrounding the end of the Roman Empire and wish to explore the factors and events that led to its decline and eventual fall. Starting from the crisis of the third century, you want to understand the internal and external challenges that weakened Rome, including political instability, economic troubles, and invasions. Your goal is to gain insights into this pivotal period of history, uncover the consequences of Rome's collapse, and explore the transition from classical antiquity to the medieval world.

 "
"Best way to prepare for college level Economics exam about supply and demand, using flashcards learning method
 ","As a dedicated college student preparing for a challenging Economics exam at the college level, you want expert guidance on the best strategies to master the topic of supply and demand. You aim to develop a deep understanding of this fundamental concept and its practical applications. Specifically, you are interested in utilizing flashcards as a learning method to enhance your retention and comprehension. Your ultimate goal is to confidently grasp the nuances of supply and demand and excel in your exam.

 "
"I got an error 503 on Wordpress webpage, after updated two days ago
 ","As the owner of a WordPress website, you recently encountered an error 503, resulting in temporary unavailability of your webpage. The error occurred shortly after you made updates to your website just two days ago. Seeking expert assistance, your primary objective is to identify the cause of the error and implement effective measures to resolve it, ensuring uninterrupted access to your website for your visitors. By addressing the error and restoring your website's functionality, you aim to provide a seamless browsing experience and maintain the reputation of your online presence.

 "
"What is the difference between Cloud Run and Cloud Function for a personal portfolio webpage
 ","As a web developer creating your personal portfolio webpage, you are seeking expert guidance to determine whether to use Google Cloud Run or Google Cloud Functions for your project. Your goal is to understand the differences between these two services and select the most suitable option for deploying and running your portfolio website. You are particularly interested in factors such as ease of deployment, scalability, costeffectiveness, and integration with other cloud services. By making an informed decision, you aim to showcase your work effectively and ensure optimal performance for your personal portfolio webpage.

 "
"Why did Democratic party use to be conservative but now they changed?
 ","You are intrigued by the evolution of the Democratic Party in the United States, particularly the shift from its historical conservative positions to its current ideological landscape. Seeking expert insights, you want to understand the reasons behind this transformation and the factors that influenced the Democratic Party's ideological shift over time. From its early conservative roots to its present progressive stance, you aim to explore the historical context, key events, influential figures, and societal changes that contributed to this change. By examining the reasons for the Democratic Party's ideological shift, you aspire to gain a comprehensive understanding of the party's evolution and its impact on American politics.

 "
"Who is Barack Obama. How does he qualify to be President of the United States?
 ","You are curious about the qualifications and requirements that enabled Barack Obama to become the President of the United States. Seeking expert insights, you aim to understand the criteria and prerequisites for an individual to qualify for the presidency. Specifically, you are interested in exploring how Barack Obama met these qualifications and overcame any potential challenges on his path to the presidency. By examining the constitutional requirements, political background, and experiences of Barack Obama, you aspire to gain a comprehensive understanding of the factors that allowed him to ascend to the highest office in the United States.

 "
"Best Vietnamese banh mi recipes. Vegan option
 ","As a vegan enthusiast eager to explore the vibrant world of plantbased cuisine, you are specifically interested in discovering the best vegan banh mi recipes. You seek expert guidance to create a delicious vegan version of this iconic Vietnamese sandwich. From the choice of plantbased proteins to the assortment of flavorful fillings and condiments, you aim to uncover the key components and techniques that will allow you to craft an authentic and satisfying vegan banh mi. By exploring the best vegan banh mi recipes, you aspire to elevate your culinary skills and indulge in a crueltyfree, plantpowered delight that captures the essence of this beloved dish.

 "
"best pho recipes. 
 ","You will act as an expert chef, providing me with the best Pho recipes. In a detailed response, share your favorite Pho recipe, including all the necessary ingredients and stepbystep instructions. Additionally, explain the key techniques and tips for achieving a delicious and authentic Pho flavor. Feel free to share any variations or personal touches you recommend to enhance the dish.

 "
"what are some high potassium foods
 ","You will act as a knowledgeable nutritionist, providing me with a list of high potassium foods. In a detailed response, share a variety of foods that are rich in potassium, along with their approximate potassium content per serving. Additionally, explain the importance of potassium in the diet, its role in maintaining overall health, and any specific benefits it offers. Feel free to include tips on incorporating these foods into a balanced diet for optimal potassium intake.

 "
